unix,datetime,speed,location
1741447800,2025-03-08 15:30:00,25.9,Sunshine Coast Airport
1741448400,2025-03-08 15:40:00,25.9,Sunshine Coast Airport
1741449000,2025-03-08 15:50:00,18.5,Sunshine Coast Airport
1741449600,2025-03-08 16:00:00,24.1,Sunshine Coast Airport
1741450200,2025-03-08 16:10:00,16.7,Sunshine Coast Airport
1741450800,2025-03-08 16:20:00,20.4,Sunshine Coast Airport
1741451400,2025-03-08 16:30:00,18.5,Sunshine Coast Airport
1741452000,2025-03-08 16:40:00,24.1,Sunshine Coast Airport
1741452600,2025-03-08 16:50:00,24.1,Sunshine Coast Airport
1741453200,2025-03-08 17:00:00,22.2,Sunshine Coast Airport
1741453800,2025-03-08 17:10:00,20.4,Sunshine Coast Airport
1741454400,2025-03-08 17:20:00,22.2,Sunshine Coast Airport
1741455000,2025-03-08 17:30:00,18.5,Sunshine Coast Airport
1741455600,2025-03-08 17:40:00,22.2,Sunshine Coast Airport
1741456200,2025-03-08 17:50:00,20.4,Sunshine Coast Airport
1741456800,2025-03-08 18:00:00,20.4,Sunshine Coast Airport
1741457400,2025-03-08 18:10:00,24.1,Sunshine Coast Airport
1741458000,2025-03-08 18:20:00,24.1,Sunshine Coast Airport
1741458600,2025-03-08 18:30:00,25.9,Sunshine Coast Airport
1741459200,2025-03-08 18:40:00,22.2,Sunshine Coast Airport
1741459800,2025-03-08 18:50:00,20.4,Sunshine Coast Airport
1741460400,2025-03-08 19:00:00,22.2,Sunshine Coast Airport
1741461000,2025-03-08 19:10:00,24.1,Sunshine Coast Airport
1741461600,2025-03-08 19:20:00,27.8,Sunshine Coast Airport
1741462200,2025-03-08 19:30:00,24.1,Sunshine Coast Airport
1741462800,2025-03-08 19:40:00,29.6,Sunshine Coast Airport
1741463400,2025-03-08 19:50:00,22.2,Sunshine Coast Airport
1741464000,2025-03-08 20:00:00,24.1,Sunshine Coast Airport
1741464600,2025-03-08 20:10:00,24.1,Sunshine Coast Airport
1741465200,2025-03-08 20:20:00,22.2,Sunshine Coast Airport
1741465800,2025-03-08 20:30:00,20.4,Sunshine Coast Airport
1741466400,2025-03-08 20:40:00,18.5,Sunshine Coast Airport
1741467000,2025-03-08 20:50:00,18.5,Sunshine Coast Airport
1741467600,2025-03-08 21:00:00,20.4,Sunshine Coast Airport
1741468200,2025-03-08 21:10:00,18.5,Sunshine Coast Airport
1741468800,2025-03-08 21:20:00,16.7,Sunshine Coast Airport
1741469400,2025-03-08 21:30:00,16.7,Sunshine Coast Airport
1741470000,2025-03-08 21:40:00,18.5,Sunshine Coast Airport
1741470600,2025-03-08 21:50:00,20.4,Sunshine Coast Airport
1741471200,2025-03-08 22:00:00,20.4,Sunshine Coast Airport
